,CS,GS,MIC,MIR,New_MIR,DMIR,GCG,CPG,GCCPG,r_1st_2nd_RM,p_1st_2nd_RM,GS95
0,0.401021918,-0.513450461,1.028345895,135.0639604,11.76241168,9.832917245,NGC,Peri,PeriNGC,0.199440373,0.001367695,0.54231153
1,0.82834854,-0.119498793,0.924908163,98.69435322,10.71451579,9.509593437,NGC,Core,CoreNGC,0.102704803,0.101769211,0.54231153
2,0.298519167,0.338343473,0.724612492,70.29308799,8.029717554,8.295988254,NGC,Peri,PeriNGC,0.365215596,1.83E-09,0.54231153
3,0.315941154,-0.774396544,0.751784836,68.70205022,6.37616738,8.886074158,NGC,Peri,PeriNGC,0.183659757,0.003245442,0.54231153
4,0.938492576,1.111502086,0.78136515,118.9028989,16.57771558,7.661689403,GC,Core,CoreGC,0.040774244,0.516866511,0.54231153
5,0.882369671,1.080579088,0.951697529,79.151972,8.856178371,9.48947428,GC,Core,CoreGC,0.077418977,0.217927423,0.54231153
6,0.550953437,0.830210965,0.636995657,57.10233834,7.183085413,3.157484409,GC,Peri,PeriGC,0.114334117,0.068336545,0.54231153
7,0.938712553,1.103488279,0.684703928,79.30471112,10.37166571,10.32030758,GC,Core,CoreGC,0.073535667,0.241966356,0.54231153
8,0.676756851,1.606551281,0.813424638,71.91524772,8.474919385,7.539745495,GC,Core,CoreGC,0.323941343,1.22E-07,0.54231153
9,0.964797621,0.817897426,0.820492116,54.80449039,6.284094257,10.11739472,GC,Core,CoreGC,0.190115899,0.002297217,0.54231153
10,0.605239404,0.911453073,0.933524098,47.66613915,4.849906933,12.09520594,GC,Core,CoreGC,0.093174437,0.137863032,0.54231153
11,0.935915694,0.713432354,0.715860194,53.57968336,6.857743947,11.00034082,GC,Core,CoreGC,0.309119895,4.76E-07,0.54231153
12,0.643382366,1.186404901,0.767478995,51.80175257,6.235279329,15.04266823,GC,Core,CoreGC,0.082308264,0.190153858,0.54231153
13,0.690143699,1.189187728,0.668893558,39.82939536,5.656229434,10.89368108,GC,Core,CoreGC,0.334894297,4.24E-08,0.54231153
14,0.923199538,1.070693562,0.509305791,37.53756472,5.084952103,8.116631653,GC,Core,CoreGC,0.013449697,0.830758472,0.54231153
15,0.784479149,0.580380223,0.762271778,46.05445135,5.785928124,9.516154297,GC,Core,CoreGC,0.144785573,0.020729176,0.54231153
16,0.209330688,0.87924992,1.111646938,50.14624984,5.712428479,11.36998017,GC,Peri,PeriGC,0.113301226,0.070886039,0.54231153
17,0.974102379,0.578022069,0.839497092,65.48565853,7.322255962,13.86950632,GC,Core,CoreGC,0.106886575,0.088504669,0.54231153
18,0.664113317,1.372662206,0.634139636,53.74161967,6.150217203,12.67642146,GC,Core,CoreGC,0.031178083,0.620213008,0.54231153
19,0.808876278,1.206362086,0.973502825,30.5551731,3.443463882,14.8563431,GC,Core,CoreGC,0.326691873,9.38E-08,0.54231153
20,0.205112498,0.802055505,0.620265103,22.51818398,2.682178198,8.19778687,GC,Peri,PeriGC,0.214527116,0.000562383,0.54231153
21,0.885503243,1.131248609,0.764054957,29.8872708,3.529586591,9.483729014,GC,Core,CoreGC,0.120157044,0.055330042,0.54231153
22,0.904054042,1.1053745,0.870854451,35.74437143,3.680995379,14.33428046,GC,Core,CoreGC,0.206617457,0.000903104,0.54231153
23,0.599910619,0.808415988,0.864329367,16.57698205,2.047855677,7.929484985,GC,Peri,PeriGC,0.161419476,0.009824315,0.54231153
24,0.618796407,0.825431147,0.946347851,38.64439445,4.389723052,13.14862516,GC,Core,CoreGC,0.114543117,0.067829893,0.54231153
25,0.678959228,0.642849983,0.951955015,37.57749448,4.38164278,14.87330412,GC,Core,CoreGC,0.330069283,6.78E-08,0.54231153
26,0.681712258,0.938317201,0.725787235,24.17237824,3.179011281,10.12943526,GC,Core,CoreGC,0.12941131,0.038916238,0.54231153
27,0.68842148,0.694763798,0.549356679,15.3466605,2.193986416,9.377014093,GC,Core,CoreGC,0.111949683,0.074338607,0.54231153
28,0.990942352,0.959204106,0.856026143,162.7649746,18.24625299,10.16794231,GC,Core,CoreGC,0.126946914,0.042824093,0.54231153
