,CS,GS,MIC,MIR,New_MIR,DMIR,GCG,CPG,GCCPG,r_1st_2nd_RM,p_1st_2nd_RM,GS95
0,0.455323659,-0.276874047,2.031865118,106.5301392,3.732949675,5.023800857,NGC,Peri,PeriNGC,0.223750714,0.000440403,0.531357798
1,0.849205292,-0.119428973,1.740562106,49.75273896,1.568037378,2.559754035,NGC,Core,CoreNGC,0.018769506,0.770971289,0.531357798
2,0.003415931,0.501862538,1.217597273,15.84986243,0.827426625,4.64704425,NGC,Peri,PeriNGC,0.623271903,1.50E-27,0.531357798
3,0.117032065,0.077461353,1.154316463,35.55952312,1.360713882,2.33285604,NGC,Peri,PeriNGC,-0.016454226,0.798575803,0.531357798
4,0.052043403,0.335119083,0.941721608,17.58230129,0.943120195,0.675672712,NGC,Peri,PeriNGC,-0.02829003,0.660797858,0.531357798
5,0.975715353,0.926540263,1.52516837,102.6429549,3.722289276,7.372128652,GC,Core,CoreGC,0.183111973,0.004183681,0.531357798
6,0.823588214,1.048556417,1.677020423,61.38932207,2.073503502,6.072333592,GC,Core,CoreGC,0.190826413,0.002818712,0.531357798
7,0.475419394,1.077823693,1.750407584,53.22702196,1.525290492,4.983667807,GC,Peri,PeriGC,0.079529292,0.216717331,0.531357798
8,0.94948302,0.838359173,1.951409083,132.3110644,4.132429168,6.083765094,GC,Core,CoreGC,0.389952292,3.00E-10,0.531357798
9,0.986745365,1.137763654,1.274729219,65.44865523,2.754776886,6.886103281,GC,Core,CoreGC,0.311508738,7.24E-07,0.531357798
10,0.871739521,1.021496195,1.118869901,24.99067494,1.113091388,4.192792809,GC,Core,CoreGC,0.030750714,0.633364013,0.531357798
11,0.991458928,0.80208974,1.387608083,51.14766202,1.711013528,4.994501024,GC,Core,CoreGC,0.223975673,0.000434428,0.531357798
12,0.975078851,0.715288074,1.518796123,44.37042665,1.5585271,5.757880215,GC,Core,CoreGC,0.584746129,1.10E-23,0.531357798
13,0.930471199,1.237322414,1.271029112,50.47120935,1.981234747,6.816468235,GC,Core,CoreGC,0.17504734,0.006222825,0.531357798
14,0.93347834,1.180696542,1.450966206,110.3285297,4.093160315,9.060734901,GC,Core,CoreGC,0.402393248,7.13E-11,0.531357798
15,0.746003197,0.963901198,1.601801111,71.86905993,2.54442093,4.360244032,GC,Core,CoreGC,0.271309387,1.80E-05,0.531357798
16,0.911888097,0.96883945,1.561962182,35.24294471,1.470380884,6.077785038,GC,Core,CoreGC,0.319834994,3.50E-07,0.531357798
17,0.268374359,0.780232588,0.854429768,94.48992745,5.804123058,4.923765756,GC,Peri,PeriGC,0.122528775,0.056471521,0.531357798
18,0.933522692,0.921422339,1.343838395,31.82022487,1.3739283,8.268035819,GC,Core,CoreGC,0.232295592,0.000259651,0.531357798
19,0.563045728,0.869192344,1.273319271,24.20432296,1.038842119,4.458238662,GC,Peri,PeriGC,0.133745908,0.037204588,0.531357798
20,0.570178472,0.857996331,2.060837883,66.56743171,2.529506692,7.4059708,GC,Peri,PeriGC,0.474526733,4.76E-15,0.531357798
21,0.932000622,0.586031039,1.435079063,31.18248629,1.165344364,2.961472443,GC,Core,CoreGC,0.008068371,0.900423032,0.531357798
22,0.902670326,1.264128724,1.855004361,91.49155556,2.997071289,6.545249354,GC,Core,CoreGC,0.088886968,0.167216988,0.531357798
23,0.777011743,1.330442525,1.595763294,28.08805394,1.105252418,7.767152127,GC,Core,CoreGC,0.183996698,0.004001445,0.531357798
24,0.941369812,0.960319335,1.519178112,55.71823258,1.96691105,4.925673783,GC,Core,CoreGC,0.24942891,8.48E-05,0.531357798
25,0.74904008,0.887917186,1.367598781,27.06343058,1.126445917,4.867289015,GC,Core,CoreGC,0.132881921,0.038458755,0.531357798
26,0.785459934,0.854189015,1.297792027,35.75609866,1.451560313,2.98605561,GC,Core,CoreGC,0.144573716,0.024201519,0.531357798
27,0.719854065,0.935705212,1.941818857,54.96774339,1.691959011,7.222584709,GC,Core,CoreGC,0.316077221,4.87E-07,0.531357798
28,0.694021185,0.866924512,1.202571136,45.61324806,1.780988897,1.533058255,GC,Core,CoreGC,0.030495,0.636192553,0.531357798
29,0.632574862,1.022612442,1.037657697,26.02490256,1.215780246,3.585564251,GC,Core,CoreGC,0.088821579,0.167530776,0.531357798
30,0.465675077,0.924334047,1.088530015,63.01494125,2.814118787,5.474455231,GC,Peri,PeriGC,0.216456123,0.000680835,0.531357798
31,0.979469541,1.141865562,1.212366204,27.94048095,1.038530327,5.233249996,GC,Core,CoreGC,0.254445081,6.02E-05,0.531357798
32,0.6850049,0.750570351,1.316194625,53.74465953,2.018363267,4.074935016,GC,Core,CoreGC,0.060917696,0.344355208,0.531357798
33,0.914759009,0.894671794,1.481479877,46.30833842,1.781283571,3.70525328,GC,Core,CoreGC,0.026849682,0.677071904,0.531357798
34,0.902481801,1.09471369,1.812940835,41.15514615,1.454128954,6.796327407,GC,Core,CoreGC,0.597913333,6.02E-25,0.531357798
35,0.703853342,0.890008836,1.212954104,26.24462489,1.00256451,6.331807586,GC,Core,CoreGC,0.040403171,0.530769629,0.531357798
