,CS,GS,MIC,MIR,New_MIR,DMIR,GCG,CPG,GCCPG,r_1st_2nd_RM,p_1st_2nd_RM,GS95
0,0.529208349,-0.00728916,0.809497568,31.40191813,1.880452482,5.17172716,NGC,Peri,PeriNGC,0.050831095,0.48265744,0.526984466
1,0.642367446,-0.440004,1.477311166,22.24293703,0.728681264,2.106548682,NGC,Core,CoreNGC,0.203606824,0.004510893,0.526984466
2,0.210821074,0.303796727,1.238702668,30.86843095,1.300448407,4.961370597,NGC,Peri,PeriNGC,0.046953897,0.516710278,0.526984466
3,0.072536297,-0.29037439,1.950151444,22.12746075,0.792507075,1.946361417,NGC,Peri,PeriNGC,0.015377336,0.831909205,0.526984466
4,0.890129789,0.962584455,1.587466949,43.84217846,1.753681611,5.433959836,GC,Core,CoreGC,0.35096952,5.61E-07,0.526984466
5,0.968963584,1.361322289,2.213220335,135.9912505,4.834023655,7.751078828,GC,Core,CoreGC,0.294852462,3.15E-05,0.526984466
6,0.939871558,0.985766037,2.021288973,73.12217439,2.540744886,7.279218272,GC,Core,CoreGC,0.523610384,5.57E-15,0.526984466
7,0.962210233,1.108700561,1.318915322,60.89793626,2.298996873,5.629276609,GC,Core,CoreGC,0.228558221,0.001388499,0.526984466
8,0.802634838,0.866469367,1.746019357,78.29258801,2.715757888,5.10827187,GC,Core,CoreGC,0.014360973,0.842870424,0.526984466
9,0.798720998,0.540054577,1.79130251,68.53449,2.885272075,4.623355557,GC,Core,CoreGC,0.273153621,0.000121306,0.526984466
10,0.42403624,0.66924812,1.39628188,34.95679114,1.411992228,4.272431363,GC,Peri,PeriGC,0.347520405,7.35E-07,0.526984466
11,0.981459121,0.951684188,1.887575021,59.02684507,2.236765794,6.054117991,GC,Core,CoreGC,0.166523083,0.020636531,0.526984466
12,0.961365802,1.079468977,1.364603748,49.66509578,1.807181931,5.482369329,GC,Core,CoreGC,0.263080219,0.000218667,0.526984466
13,0.938632624,1.251239728,2.352613905,54.76337726,1.895941054,7.152386347,GC,Core,CoreGC,0.038604815,0.594012773,0.526984466
14,0.489572533,0.903645989,1.198337002,25.65350379,1.320621145,5.719294954,GC,Peri,PeriGC,0.093847215,0.194230724,0.526984466
15,0.65154002,0.887546707,1.017250712,35.2613786,1.854861053,3.71162402,GC,Core,CoreGC,0.068707195,0.342400529,0.526984466
16,0.921376099,0.751628715,1.52322184,28.35811895,0.975967567,4.959473324,GC,Core,CoreGC,0.74233652,4.70E-35,0.526984466
17,0.340571812,0.721877974,1.987611253,72.68113304,2.437032226,4.731288122,GC,Peri,PeriGC,0.057348456,0.428251664,0.526984466
18,0.776478394,0.568135584,1.688121062,54.00823327,2.153885964,5.538978265,GC,Core,CoreGC,0.211369084,0.003169826,0.526984466
19,0.919251701,1.032234774,1.90548203,33.95014661,1.288271524,6.797666612,GC,Core,CoreGC,0.543123009,3.34E-16,0.526984466
20,0.727115251,0.745212789,1.053072468,24.1192713,1.270995565,3.093790586,GC,Core,CoreGC,0.215101833,0.002663471,0.526984466
21,0.98370992,1.201530753,1.576501945,38.26507697,1.454090562,5.6420343,GC,Core,CoreGC,0.301760077,2.00E-05,0.526984466
22,0.87804347,0.847925257,1.406385438,32.39152997,1.184518905,3.771150313,GC,Core,CoreGC,0.179630285,0.012431296,0.526984466
23,0.627054326,1.100920947,1.126002973,41.00014871,1.740519718,5.076702592,GC,Core,CoreGC,0.372462869,9.61E-08,0.526984466
