,CS,GS,MIC,MIR,New_MIR,DMIR,GCG,CPG,GCCPG,r_1st_2nd_RM,p_1st_2nd_RM,GS95
0,0.542750538,-0.498052658,1.949897579,66.80477664,2.15186867,4.203500209,NGC,Peri,PeriNGC,0.142472208,0.029341933,0.514700746
1,0.636970762,-0.112988559,1.867158141,126.3932728,4.057822943,5.894361129,NGC,Core,CoreNGC,0.309686167,1.36E-06,0.514700746
2,0.738816206,0.235895844,1.951387747,30.60171809,1.040233375,9.922906687,NGC,Core,CoreNGC,0.541364137,3.22E-19,0.514700746
3,0.701350944,0.11020172,1.508295478,25.90784453,0.897862849,7.260951349,NGC,Core,CoreNGC,0.363135239,1.05E-08,0.514700746
4,0.12835038,0.123792033,1.554386887,42.61872164,1.938443685,3.416422523,NGC,Peri,PeriNGC,0.143682393,0.027980254,0.514700746
5,0.016200644,-0.132252381,2.23994211,19.64427136,0.4989706,4.162200497,NGC,Peri,PeriNGC,0.398124627,2.60E-10,0.514700746
6,0.041703673,-0.002197587,1.351514524,22.30518857,0.935062749,6.67093734,NGC,Peri,PeriNGC,0.220926707,0.000665078,0.514700746
7,0.532053309,0.338978759,1.375010801,25.6661627,0.923437884,4.423961932,NGC,Peri,PeriNGC,0.047712881,0.467610711,0.514700746
8,0.759201091,0.336550546,1.851643845,19.59319238,0.668139593,6.367302615,NGC,Core,CoreNGC,0.257794091,6.61E-05,0.514700746
9,0.015035314,0.089007307,1.164258793,26.03726599,1.226953252,3.13909286,NGC,Peri,PeriNGC,0.029588043,0.652505041,0.514700746
10,0.97577042,0.852505105,1.4027876,162.5250912,6.142461637,4.76269521,GC,Core,CoreGC,0.323208389,4.33E-07,0.514700746
11,0.663738109,0.820687789,2.39187841,132.0287311,4.114321246,6.612662559,GC,Core,CoreGC,0.111469199,0.088881834,0.514700746
12,0.961154121,1.282828089,1.30683119,158.2548817,6.522015277,4.738735813,GC,Core,CoreGC,0.73390341,7.64E-41,0.514700746
13,0.00866887,0.807008936,0.992810194,20.45413132,1.197458417,3.60729234,GC,Peri,PeriGC,0.023003603,0.726301614,0.514700746
14,0.931674864,1.135932494,1.33132015,72.97167789,2.808891128,5.016553285,GC,Core,CoreGC,0.186525835,0.004194023,0.514700746
15,0.939002131,1.049161222,1.224086912,57.47283887,2.452021075,5.085642234,GC,Core,CoreGC,0.237513776,0.000245979,0.514700746
16,0.942590575,1.282975809,1.258729935,79.84231636,3.05830996,3.913446702,GC,Core,CoreGC,0.129451627,0.047933758,0.514700746
17,0.978044865,1.016806012,1.576610378,56.66387668,1.79676282,2.539086384,GC,Core,CoreGC,0.129014844,0.048698149,0.514700746
18,0.931801789,1.020397709,1.664870889,119.6319477,4.467885413,6.180537945,GC,Core,CoreGC,0.469590663,3.09E-14,0.514700746
19,0.391414425,0.64004172,1.731559362,32.82209657,1.370230772,3.026520864,GC,Peri,PeriGC,0.52361415,7.11E-18,0.514700746
20,0.216070759,0.516568304,1.010695879,78.01591635,4.532503778,3.193738502,GC,Peri,PeriGC,0.185503249,0.004410401,0.514700746
21,0.57705815,1.261264963,1.734279239,39.71466564,1.350752584,5.157439943,GC,Peri,PeriGC,0.12742554,0.051565828,0.514700746
22,0.951298948,0.912713242,1.719019056,90.0784602,3.38870656,7.748769707,GC,Core,CoreGC,0.197705895,0.002380209,0.514700746
23,0.954592821,1.242202298,1.418739089,81.469531,3.301428959,4.718811789,GC,Core,CoreGC,0.009080543,0.890110327,0.514700746
24,0.404918305,0.743090591,1.630978463,52.28938175,2.027270731,7.489323055,GC,Peri,PeriGC,0.342421127,7.73E-08,0.514700746
25,0.488091262,0.554621531,1.372064217,23.94695794,1.002094099,0.382884678,GC,Peri,PeriGC,0.030054152,0.647396835,0.514700746
26,0.24387252,0.585367587,1.94368383,118.3229616,4.508649554,6.791126609,GC,Peri,PeriGC,0.312144612,1.11E-06,0.514700746
27,0.797535636,1.312464289,2.011822636,108.3471362,4.260584896,6.232706458,GC,Core,CoreGC,0.624719082,9.90E-27,0.514700746
28,0.864497479,1.061449768,1.180104433,50.2718897,2.19109775,3.85779377,GC,Core,CoreGC,0.160633972,0.013891187,0.514700746
29,0.506539327,0.99278285,2.220438265,22.51413108,0.722021592,7.472808812,GC,Peri,PeriGC,0.189624056,0.0035956,0.514700746
30,0.858044093,0.590813906,2.125384993,141.2687606,4.720335247,9.523802527,GC,Core,CoreGC,0.362057068,1.17E-08,0.514700746
31,0.909810433,0.575358681,1.432795251,44.38290793,1.691212758,4.92919449,GC,Core,CoreGC,0.177543335,0.006468933,0.514700746
32,0.837761942,0.978305949,1.389446781,41.94744618,1.427047713,6.381359592,GC,Core,CoreGC,0.167310044,0.010355026,0.514700746
33,0.914761395,0.798564393,1.568707156,51.18889588,2.008052573,3.72422887,GC,Core,CoreGC,0.12620818,0.05385617,0.514700746
34,0.597446914,1.055602557,1.589243642,34.76793111,1.310608434,2.989377105,GC,Peri,PeriGC,0.159294864,0.014716161,0.514700746
35,0.815966075,1.098108035,1.052126255,36.44325738,1.359256191,4.495285801,GC,Core,CoreGC,0.233339636,0.000318071,0.514700746
36,0.391747155,0.861426774,1.387285927,30.11142049,1.329171879,7.368830789,GC,Peri,PeriGC,0.459639206,1.24E-13,0.514700746
37,0.387746826,0.763655365,0.994389172,15.52311292,0.644698881,2.71029503,GC,Peri,PeriGC,0.156669299,0.016458954,0.514700746
38,0.877441608,0.592085921,1.128005335,54.90100175,1.938532888,6.92076338,GC,Core,CoreGC,0.389382843,6.84E-10,0.514700746
39,0.976230117,0.943004484,1.616695976,37.48352048,1.377867118,6.410519075,GC,Core,CoreGC,0.289538738,6.73E-06,0.514700746
40,0.755398364,0.887876639,1.585096483,56.22061122,2.160542595,6.140554434,GC,Core,CoreGC,0.351175648,3.39E-08,0.514700746
41,0.815141758,0.873720758,1.320145637,35.4323137,1.394135393,6.241128059,GC,Core,CoreGC,0.63464084,8.83E-28,0.514700746
42,0.294502076,1.251709319,1.725652567,28.38738143,1.172832349,8.048873468,GC,Peri,PeriGC,0.206526991,0.001489842,0.514700746
43,0.681243327,0.642247003,1.178762314,31.5786087,1.396864498,5.140412946,GC,Core,CoreGC,0.492672947,1.03E-15,0.514700746
44,0.806927773,0.539284445,1.4020524,58.60986375,2.226530007,7.187906827,GC,Core,CoreGC,0.152104946,0.019919566,0.514700746
45,0.801401968,0.790470148,1.796909809,32.54537275,1.151976231,7.203296941,GC,Core,CoreGC,0.078864226,0.229439811,0.514700746
46,0.557275563,0.560786202,1.101081695,30.11728525,1.368122255,3.217067639,GC,Peri,PeriGC,0.138567375,0.034128259,0.514700746
47,0.948470954,1.185990248,1.412601131,23.80928886,0.916628061,6.820032335,GC,Core,CoreGC,0.284658297,9.74E-06,0.514700746
48,0.722768362,0.824950653,1.055624437,18.76353653,0.801685242,4.551204853,GC,Core,CoreGC,-0.02535953,0.699562643,0.514700746
