,CS,GS,MIC,MIR,New_MIR,DMIR,GCG,CPG,GCCPG,r_1st_2nd_RM,p_1st_2nd_RM,GS95
0,0.685373675,-0.19688796,2.411595141,80.2887336,2.620049461,9.754348377,NGC,Core,CoreNGC,0.323446818,5.63E-06,0.494581733
1,0.422053718,0.128522089,0.81070926,40.11398348,2.46382528,3.584247218,NGC,Peri,PeriNGC,0.002626326,0.971388771,0.494581733
2,0.634727407,0.319146088,2.110157579,55.49348933,1.80653119,4.616557075,NGC,Core,CoreNGC,0.120911932,0.097454202,0.494581733
3,0.008811557,-0.433686115,1.297385575,11.02905687,0.432326246,6.027415304,NGC,Peri,PeriNGC,0.104086281,0.154061435,0.494581733
4,0.559805482,-0.208912199,0.94904117,26.23093154,1.384613534,5.040787395,NGC,Peri,PeriNGC,0.344613808,1.20E-06,0.494581733
5,0.079151321,-0.068074602,1.244414445,20.48853308,0.631251973,4.301368638,NGC,Peri,PeriNGC,0.104220707,0.153527367,0.494581733
6,0.597955039,0.268637218,1.53527945,43.83159465,1.439240603,4.933860387,NGC,Peri,PeriNGC,0.084460494,0.247884597,0.494581733
7,0.105085453,0.026075565,1.49804809,17.69835632,0.796927162,5.070700049,NGC,Peri,PeriNGC,0.164858896,0.023394296,0.494581733
8,0.63625081,0.430486323,1.196240459,44.11193024,1.632863639,4.461271307,NGC,Core,CoreNGC,0.224934022,0.001859551,0.494581733
9,0.021945351,-0.320982288,0.798256573,17.25803165,1.03552878,2.677179925,NGC,Peri,PeriNGC,0.332328447,2.98E-06,0.494581733
10,0.187380946,-0.468338626,0.966435873,6.625978116,0.314755958,3.701680808,NGC,Peri,PeriNGC,-0.043092543,0.556016924,0.494581733
11,0.75200208,-0.195304576,1.132941448,18.48653018,0.8934261,7.853874995,NGC,Core,CoreNGC,0.244672182,0.000691083,0.494581733
12,0.958495854,0.751385863,1.499604836,56.23625732,2.332538979,5.687962477,GC,Core,CoreGC,0.591956468,2.96E-19,0.494581733
13,0.88194647,0.924176907,1.643277088,59.83772824,2.182354468,5.749368488,GC,Core,CoreGC,-0.01322651,0.856653248,0.494581733
14,0.902179705,0.834696806,2.201130557,81.81737956,2.361893617,3.872196303,GC,Core,CoreGC,0.199087699,0.006025439,0.494581733
15,0.947279235,0.765027837,1.569207743,55.87495742,1.75118837,4.353260419,GC,Core,CoreGC,0.321499492,6.46E-06,0.494581733
16,0.966455697,1.131621195,1.726341537,100.7298589,3.576851548,7.19597459,GC,Core,CoreGC,0.242811717,0.000761319,0.494581733
17,0.938002862,0.743257746,1.788052337,45.41835977,1.571125861,4.755104893,GC,Core,CoreGC,0.069958225,0.33878998,0.494581733
18,0.461474646,0.801628114,0.643834296,33.77184169,2.628652727,3.724880064,GC,Peri,PeriGC,0.03681869,0.614974146,0.494581733
19,0.987198305,1.001885626,1.727214979,72.86796644,2.493508382,4.440141675,GC,Core,CoreGC,0.201839696,0.005350255,0.494581733
20,0.95555379,0.586104339,1.534119739,42.64475339,1.55394637,5.447039639,GC,Core,CoreGC,0.250730647,0.00050167,0.494581733
21,0.953257531,0.88954774,1.597780973,92.96880494,3.398243999,5.722434727,GC,Core,CoreGC,-0.016210932,0.824781346,0.494581733
22,0.844787132,0.510479235,1.398510038,42.5468621,1.596856238,2.796602068,GC,Core,CoreGC,0.060409705,0.408950954,0.494581733
23,0.763855256,0.731719847,1.176548671,53.70301169,1.958958642,4.346721028,GC,Core,CoreGC,0.014421608,0.843859391,0.494581733
24,0.773990249,1.007594298,2.114576512,72.64161031,2.338435731,6.779501973,GC,Core,CoreGC,0.61942625,2.07E-21,0.494581733
25,0.545545883,0.895169016,2.47213266,68.53707197,2.228564533,6.449319195,GC,Peri,PeriGC,0.167811281,0.020992952,0.494581733
26,0.483655168,0.608339503,2.114187335,54.67745356,2.001273343,7.549264374,GC,Peri,PeriGC,0.622735069,1.10E-21,0.494581733
27,0.946156932,1.236053583,1.474855884,38.68914661,1.551701144,6.997509739,GC,Core,CoreGC,0.402860504,9.08E-09,0.494581733
28,0.591972755,0.818791434,1.385741999,39.12930519,1.518541681,2.786579006,GC,Peri,PeriGC,0.121842558,0.094884855,0.494581733
29,0.678802988,0.771096709,1.20925084,24.09790506,0.872855589,5.064711335,GC,Core,CoreGC,0.113923271,0.118551588,0.494581733
30,0.958489914,1.267084292,1.271554557,21.90128053,0.837840163,4.235940377,GC,Core,CoreGC,0.569973605,1.13E-17,0.494581733
31,0.869842429,0.815190554,1.427240993,30.09021233,1.207928443,2.877343868,GC,Core,CoreGC,0.476327104,4.27E-12,0.494581733
32,0.964371388,1.244079904,1.543701465,28.35962986,1.31103402,4.463977825,GC,Core,CoreGC,0.47871988,3.22E-12,0.494581733
33,0.537102393,0.966640722,2.374627233,69.75261709,2.191566668,5.315315289,GC,Peri,PeriGC,0.65194794,2.98E-24,0.494581733
34,0.934971604,1.538575343,1.238223153,25.50305591,1.080052469,4.338164649,GC,Core,CoreGC,0.181970802,0.012208903,0.494581733
35,0.844410507,0.753734234,2.51768585,32.01209351,1.010643262,6.794535288,GC,Core,CoreGC,0.161365748,0.026537568,0.494581733
36,0.813455536,0.748244075,1.768874772,30.76258313,0.862883029,9.181264973,GC,Core,CoreGC,0.477744599,3.62E-12,0.494581733
37,0.281196918,0.582309155,1.62146902,22.19616477,0.882501946,2.79644884,GC,Peri,PeriGC,-0.031447666,0.66750692,0.494581733
38,0.933706602,0.960472525,1.156945382,19.21126875,0.686992181,5.912315826,GC,Core,CoreGC,0.008474832,0.907859529,0.494581733
39,0.799653639,1.165995031,1.392937167,36.31550415,1.24779635,1.919103348,GC,Core,CoreGC,0.369768177,1.64E-07,0.494581733
40,0.946698109,1.232860085,1.449079904,27.4039289,1.206521925,6.89125838,GC,Core,CoreGC,0.520747543,1.58E-14,0.494581733
41,0.773021075,0.967292354,1.958040894,74.39375471,2.402668231,4.549855026,GC,Core,CoreGC,0.090891398,0.213559594,0.494581733
42,0.245848694,0.650447426,0.998080265,19.36202608,0.996525784,2.167108849,GC,Peri,PeriGC,-0.006807162,0.925932756,0.494581733
43,0.542526379,0.907665889,1.172524034,13.85893025,0.508491768,3.245625517,GC,Peri,PeriGC,0.485980395,1.35E-12,0.494581733
44,0.934633015,1.26625941,1.449698246,21.91733493,0.81242535,4.716636666,GC,Core,CoreGC,0.109372329,0.134095846,0.494581733
45,0.851360567,0.996836344,1.446518745,25.6969151,1.045576181,3.99739112,GC,Core,CoreGC,0.084240451,0.249123222,0.494581733
46,0.831652174,1.157455249,1.749918158,30.29635892,1.263180777,6.125297252,GC,Core,CoreGC,0.031459772,0.667386553,0.494581733
47,0.710513381,0.945288636,1.775661005,28.56899579,0.937931288,4.130789646,GC,Core,CoreGC,0.686308004,1.17E-27,0.494581733
48,0.621386967,1.13632787,1.525800148,25.068309,1.012984423,4.449805261,GC,Core,CoreGC,0.183932582,0.011291911,0.494581733
49,0.800756427,0.82439893,1.041698592,21.25084117,1.06319419,6.113286482,GC,Core,CoreGC,0.264273743,0.000238215,0.494581733
50,0.949500777,0.74349564,1.109291463,12.96860107,0.561623897,3.605786943,GC,Core,CoreGC,0.016312437,0.823702044,0.494581733
51,0.858351511,0.970686221,1.478423843,25.71684299,0.970140582,3.861743679,GC,Core,CoreGC,0.282242932,8.33E-05,0.494581733
