,CS,GS,MIC,MIR,New_MIR,DMIR,GCG,CPG,GCCPG,r_1st_2nd_RM,p_1st_2nd_RM,GS95
0,0.219149819,-0.020910178,2.227728543,94.87220382,3.38628838,2.668320824,NGC,Peri,PeriNGC,-0.003232023,0.963588641,0.52928132
1,0.964361881,0.492358491,2.077285693,45.55330258,1.929045468,5.355975908,NGC,Core,CoreNGC,0.028403882,0.688220801,0.52928132
2,0.078037971,0.040666392,2.299766497,40.41914272,1.180492546,5.14073778,NGC,Peri,PeriNGC,0.103587795,0.142356409,0.52928132
3,0.162345765,-0.407290555,1.917137652,35.9444885,1.753333011,3.822936249,NGC,Peri,PeriNGC,0.052344243,0.45939585,0.52928132
4,0.674428318,-0.150231106,2.91824612,34.06400279,1.097278395,5.954416735,NGC,Core,CoreNGC,-0.025490792,0.718770529,0.52928132
5,0.887781263,-0.028042161,1.934539726,35.53199368,1.339754695,2.126935093,NGC,Core,CoreNGC,0.040940658,0.562921402,0.52928132
6,0.492024852,0.293636334,1.856425101,27.91715415,1.031101632,6.563042826,NGC,Peri,PeriNGC,0.145380005,0.038980194,0.52928132
7,0.773770407,0.845180045,1.573310976,103.8979107,4.318099343,4.807114506,GC,Core,CoreGC,0.258147835,0.000207858,0.52928132
8,0.720372319,0.700915507,1.488078338,35.49839906,1.420771369,4.092783314,GC,Core,CoreGC,-0.012188059,0.86331469,0.52928132
9,0.965706176,1.391603272,1.562583645,111.8102488,3.734419805,4.479916009,GC,Core,CoreGC,0.010799408,0.878760765,0.52928132
10,0.948638821,1.206202884,1.591259033,95.22362909,3.412672516,2.300441748,GC,Core,CoreGC,-0.022275283,0.753015561,0.52928132
11,0.813988371,0.60730049,1.748251982,76.75688905,3.067236115,4.219984107,GC,Core,CoreGC,0.429563943,1.78E-10,0.52928132
12,0.969514405,0.781841768,1.384469378,44.94095219,2.0934253,2.724572034,GC,Core,CoreGC,0.037379391,0.597396135,0.52928132
13,0.783057629,0.832250377,1.744719202,36.40621415,1.727118107,3.327047868,GC,Core,CoreGC,0.048842285,0.490015936,0.52928132
14,0.988046976,1.278416377,1.713934222,96.29271309,3.528021947,7.199401635,GC,Core,CoreGC,0.126860014,0.072001897,0.52928132
15,0.95684752,0.836812188,1.437402081,50.40378749,2.654240196,1.877590894,GC,Core,CoreGC,-0.012232546,0.86282068,0.52928132
16,0.766630459,1.320483466,1.494132263,48.82034547,1.943136587,2.046303829,GC,Core,CoreGC,0.209867765,0.002720009,0.52928132
17,0.869628175,0.909235395,1.697183269,43.3111613,1.926362561,6.256038896,GC,Core,CoreGC,0.380361032,2.35E-08,0.52928132
18,0.664003151,0.695367582,1.502712136,47.86625205,1.943254011,4.555624732,GC,Core,CoreGC,0.247743653,0.000378228,0.52928132
19,0.925467942,0.599914135,1.673219379,35.4101594,1.275829336,4.362092014,GC,Core,CoreGC,0.175518263,0.012470993,0.52928132
20,0.970299449,0.65760845,1.773881411,73.04042164,2.416949157,4.135281075,GC,Core,CoreGC,0.468270515,2.10E-12,0.52928132
21,0.938968739,1.147868796,1.661465781,42.97463631,1.559914602,1.937097022,GC,Core,CoreGC,0.057352409,0.417515032,0.52928132
22,0.561419172,1.003107288,1.681950767,34.49512173,1.452921917,4.068859617,GC,Peri,PeriGC,0.016638,0.814193838,0.52928132
23,0.528524262,0.78485157,1.924747711,26.07143423,0.884326409,2.611048338,GC,Peri,PeriGC,-0.016727502,0.8132126,0.52928132
24,0.184992147,0.951414119,1.163809813,15.76495238,0.982458689,-0.218867176,GC,Peri,PeriGC,0.030666745,0.664830674,0.52928132
25,0.046156512,0.64777348,1.460209814,16.19869876,0.72223891,5.34644881,GC,Peri,PeriGC,0.102296858,0.147423605,0.52928132
26,0.897521687,0.948112405,1.503194192,51.10791527,2.023473294,6.3541681,GC,Core,CoreGC,0.245386103,0.000431677,0.52928132
27,0.903818356,0.614770729,1.459433943,50.21256652,1.751918849,5.542678504,GC,Core,CoreGC,0.292203389,2.45E-05,0.52928132
28,0.101379583,0.532609278,1.516564919,24.09672373,1.170372322,3.852899095,GC,Peri,PeriGC,0.044889319,0.525847418,0.52928132
29,0.89376853,0.965151992,1.424051699,27.75248362,1.163857346,6.42712477,GC,Core,CoreGC,0.573522838,4.62E-19,0.52928132
30,0.888585257,1.039085421,1.939228833,29.07249813,1.088498169,6.477094934,GC,Core,CoreGC,0.167036991,0.017500215,0.52928132
31,0.328916937,-0.039311417,1.593913489,94.40209573,2.975645766,1.668829838,NGC,Peri,PeriNGC,0.183147083,0.009081773,0.52928132
32,0.928920914,-0.095547084,2.48613818,141.9964546,4.83206263,4.171744084,NGC,Core,CoreNGC,0.156765691,0.025878779,0.52928132
33,0.715751613,-0.093980822,2.670345437,101.1383135,3.940446409,5.88776325,NGC,Core,CoreNGC,0.16388089,0.01977926,0.52928132
34,0.586633242,-0.082900417,3.144361296,93.96488827,2.184914168,4.422790579,NGC,Peri,PeriNGC,0.340828006,6.93E-07,0.52928132
