,CS,GS,MIC,MIR,New_MIR,DMIR,GCG,CPG,GCCPG,r_1st_2nd_RM,p_1st_2nd_RM,GS95
0,0.833896681,0.190891561,1.772663308,160.9109471,4.725033395,8.516712649,NGC,Core,CoreNGC,0.561431526,2.02E-20,0.50435938
1,0.877137234,-0.054306835,0.933163966,34.46469594,1.516770025,2.837476329,NGC,Core,CoreNGC,0.021881246,0.741890565,0.50435938
2,0.667046682,-0.144122969,1.519584725,43.57691022,1.34197114,8.760736225,NGC,Core,CoreNGC,0.191150274,0.003688746,0.50435938
3,0.824729192,0.525393062,1.572202824,264.4921004,7.517557714,5.801955841,GC,Core,CoreGC,0.54258286,6.25E-19,0.50435938
4,0.523076068,0.718840137,1.191989832,175.09375,6.135829831,4.434139871,GC,Peri,PeriGC,0.22698727,0.000537303,0.50435938
5,0.928334935,1.105733248,1.384484038,165.3706428,5.217158643,4.187188906,GC,Core,CoreGC,0.278430588,1.91E-05,0.50435938
6,0.948186375,1.213300948,1.536768706,199.3339315,7.196270374,7.404205704,GC,Core,CoreGC,0.245917469,0.000170641,0.50435938
7,0.669324116,1.134219695,1.142003122,151.4546154,5.277031702,7.649976126,GC,Core,CoreGC,0.133486793,0.043590463,0.50435938
8,0.915903254,1.227484874,1.297835297,164.9910599,6.00050453,10.14628662,GC,Core,CoreGC,0.226717801,0.000545787,0.50435938
9,0.923056712,0.890039659,1.141727643,289.0275273,10.09434066,4.356096634,GC,Core,CoreGC,0.231973794,0.00040074,0.50435938
10,0.878925701,0.705233756,1.302072179,129.4609307,4.851679011,6.669769231,GC,Core,CoreGC,0.190822462,0.003748953,0.50435938
11,0.925853235,1.318493281,1.294277212,113.5725475,3.58079066,3.87268047,GC,Core,CoreGC,0.168490638,0.010647515,0.50435938
12,0.884832318,1.178812127,1.279025255,121.941702,4.712522493,9.513866723,GC,Core,CoreGC,0.348456314,6.13E-08,0.50435938
13,0.921874589,0.880789808,1.305731708,87.58974331,2.733463225,6.129844009,GC,Core,CoreGC,0.110025185,0.096729875,0.50435938
14,0.871755186,0.527524645,0.825660726,59.73723842,2.319319223,3.123787348,GC,Core,CoreGC,0.232892523,0.000379402,0.50435938
15,0.635360396,1.250966615,1.475352785,101.2999607,3.533813096,5.953109805,GC,Core,CoreGC,0.36614722,1.13E-08,0.50435938
16,0.736437519,0.89572484,1.179963839,42.45238817,1.483447407,5.42343852,GC,Core,CoreGC,0.365950991,1.15E-08,0.50435938
17,0.235194645,0.667800014,1.142136475,26.80125584,1.44154362,1.577639238,GC,Peri,PeriGC,0.057609716,0.385534798,0.50435938
18,0.962443125,1.046724792,1.264673245,74.30184277,2.72413682,4.614344701,GC,Core,CoreGC,0.393043196,7.04E-10,0.50435938
19,0.921661637,0.703086019,0.833820245,46.68973705,1.826094913,3.145290694,GC,Core,CoreGC,0.355233509,3.25E-08,0.50435938
20,0.935149578,1.061010618,1.188808068,47.93720535,1.811473983,5.806324942,GC,Core,CoreGC,0.194814261,0.003072816,0.50435938
21,0.566519857,0.507541529,1.004056877,61.33683322,2.605206107,5.55357862,GC,Peri,PeriGC,0.226050068,0.00056735,0.50435938
22,0.990448282,0.673243853,1.213899251,30.3039315,1.229843908,5.055950615,GC,Core,CoreGC,0.080499258,0.224946755,0.50435938
23,0.667276627,0.642737853,1.047439641,41.93371749,1.534759884,6.730512018,GC,Core,CoreGC,0.209678587,0.00141684,0.50435938
24,0.70511019,0.906896238,1.202472826,37.19388469,1.352113463,5.641134951,GC,Core,CoreGC,0.374616258,4.84E-09,0.50435938
25,0.097676877,0.897948244,1.48203103,35.60518838,1.317949166,3.908776986,GC,Peri,PeriGC,0.374251245,5.03E-09,0.50435938
26,0.740031892,0.724945353,1.053516054,27.06100878,1.068234577,7.020769181,GC,Core,CoreGC,0.145420161,0.027787518,0.50435938
27,0.159556295,0.581604343,0.834613806,20.73246349,0.849687519,2.425475847,GC,Peri,PeriGC,0.102475,0.122028359,0.50435938
28,0.411064541,0.017980853,0.987531146,83.85995358,3.317192703,3.660370226,NGC,Peri,PeriNGC,0.126277778,0.056376016,0.50435938
29,0.833297794,-0.429480132,1.729594353,191.6175902,5.05481687,6.350445025,NGC,Core,CoreNGC,0.204631516,0.001853871,0.50435938
