,CS,GS,MIC,MIR,New_MIR,DMIR,GCG,CPG,GCCPG,r_1st_2nd_RM,p_1st_2nd_RM,GS95
0,0.848239323,-0.093730014,2.097467371,57.10417096,2.300708019,5.911778389,NGC,Core,CoreNGC,-0.023318316,0.808932308,0.521325618
1,0.533894311,0.043696064,1.676736926,27.56222607,0.839743266,3.634528571,NGC,Peri,PeriNGC,0.047649154,0.621079781,0.521325618
2,0.273274222,-0.109858591,2.816978802,80.12327031,2.15018303,3.604503684,NGC,Peri,PeriNGC,0.196208099,0.039941443,0.521325618
3,0.474372182,-0.125163984,1.535367796,49.86004715,1.999036673,4.172937009,NGC,Peri,PeriNGC,0.476089762,1.47E-07,0.521325618
4,0.115102725,-0.411513388,0.896623799,43.07530772,1.762657924,2.704227481,NGC,Peri,PeriNGC,-0.035506414,0.712681962,0.521325618
5,0.076558141,-0.268909149,1.804179775,15.95468311,0.524893222,2.774906466,NGC,Peri,PeriNGC,-0.03719723,0.699641253,0.521325618
6,0.353560963,-0.403600183,0.936845615,35.36057593,1.525769584,1.739963826,NGC,Peri,PeriNGC,-0.02924108,0.761703537,0.521325618
7,0.083110127,-0.531105868,1.533230059,13.84234398,0.529484122,4.668729156,NGC,Peri,PeriNGC,-0.041485665,0.666962704,0.521325618
8,0.431037016,0.986320224,1.930168896,210.8081222,6.226198425,3.012831204,GC,Peri,PeriGC,0.12861009,0.180559814,0.521325618
9,0.405632621,1.198783475,1.33537308,58.40014591,2.098909552,3.091677022,GC,Peri,PeriGC,0.086002684,0.371666341,0.521325618
10,0.980886178,0.928160749,2.439270245,142.7392874,5.015465997,4.756083682,GC,Core,CoreGC,0.840016373,1.90E-30,0.521325618
11,0.984984898,1.168593365,1.647920835,106.1702086,3.406759552,2.653345728,GC,Core,CoreGC,0.008626747,0.928727339,0.521325618
12,0.947976597,1.063231518,1.636532405,97.61182474,3.371362126,6.781811756,GC,Core,CoreGC,-0.014500257,0.880488022,0.521325618
13,0.542170697,1.0617317,1.439691832,56.97563341,1.812514759,2.22653882,GC,Peri,PeriGC,0.028416072,0.768234337,0.521325618
14,0.959922589,1.106983974,2.737564181,74.81557393,2.596953298,7.013111806,GC,Core,CoreGC,0.106075485,0.270055306,0.521325618
15,0.552420804,0.57764334,1.498172118,75.95655287,2.407164701,3.316365763,GC,Peri,PeriGC,0.097037489,0.313217363,0.521325618
16,0.782421029,0.774428028,1.613929253,140.604959,5.162194237,7.231314744,GC,Core,CoreGC,0.047080817,0.625253804,0.521325618
17,0.654312874,0.605923501,2.54278931,87.70105,2.925264331,5.363693082,GC,Core,CoreGC,0.119561167,0.213458523,0.521325618
18,0.898950673,0.871434236,1.11734973,59.40375478,2.400498144,3.506960276,GC,Core,CoreGC,-0.038689968,0.688200251,0.521325618
19,0.689266587,0.578016227,1.259076274,63.55971944,2.050508594,2.683273471,GC,Core,CoreGC,0.175825401,0.066158549,0.521325618
20,0.708398534,1.033406244,1.771406126,88.26260733,3.196287258,6.875076755,GC,Core,CoreGC,-0.015419134,0.872976112,0.521325618
21,0.905603689,0.523071238,1.668442272,32.8743826,1.393486264,5.618250866,GC,Core,CoreGC,0.097536851,0.310721806,0.521325618
22,0.948438745,0.920378905,1.411919082,37.04575139,1.553495218,3.051469344,GC,Core,CoreGC,0.707665673,5.47E-18,0.521325618
23,0.57702035,0.710815114,0.976204728,21.57046762,0.810275065,1.520312018,GC,Peri,PeriGC,0.326318563,0.000503091,0.521325618
24,0.854307804,1.054515888,1.746811789,72.11999964,2.758606385,3.207383111,GC,Core,CoreGC,-0.049310368,0.6089485,0.521325618
